,title,country,date_added,release_year,rating,listed_in,description,target
512,Dexter,United States," January 1, 2018",2013,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",True
513,Dharmakshetra,India,"July 5, 2018",2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",False
514,Dhia Sofea,Malaysia,"December 1, 2017",2015,TV-14,"International TV Shows, TV Dramas","After discovering that she was adopted as an infant, a young woman embarks on a perilous quest to connect with her biological mother.",False
515,Diablero,Mexico,"January 31, 2020",2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","When a young girl goes missing in a big city, a desperate priest joins a demon hunter and his motley crew on an otherworldly mission to find her.",True
516,Diagnosis,United States,"August 16, 2019",2019,TV-14,"Docuseries, Science & Nature TV",Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.,False
518,Diamond Lover,China,"July 7, 2017",2015,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","After an accident leads to great weight loss, once-obese Mi Duo embarks on a new life working for her secret crush, diamond company CEO Xiao Liang.",False
519,Dinner for Five,United States,"February 4, 2008",2007,TV-MA,Stand-Up Comedy & Talk Shows,"In each episode, four celebrities join host Jon Favreau for dinner and share revealing stories about both show business and their personal lives.",False
520,Dino Girl Gauko,"United States, Japan","March 20, 2020",2020,TV-Y7,"Anime Series, Kids' TV","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents.",True
521,Dino Hunt,Canada,"August 4, 2017",2016,TV-G,"Docuseries, Science & Nature TV","Top scientists and paleontologists examine dinosaur fossils located throughout Canada, while searching for elusive new species.",False
522,Dinosaur King,Japan,"June 2, 2018",2008,TV-Y7,"Anime Series, Kids' TV","Aided by tablets found near a downed meteorite, Max, Rex and Zoe race the evil Alpha Gang as they travel the globe in search of living dinosaurs.",True
523,Dinotrux,United States,"August 18, 2017",2017,TV-Y7,Kids' TV,"Half dinosaur, half construction truck, full-on fun! Watch giant Ty Rux, his little buddy Revvit and the crew come face-to-face with evil D-Structs.",True
525,Dirty John,United States,"November 25, 2019",2018,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.,False
526,Dirty Money,United States,"March 11, 2020",2020,TV-MA,"Crime TV Shows, Docuseries","From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.",True
527,Disappearance,Egypt,"March 8, 2019",2018,TV-MA,"International TV Shows, TV Dramas, TV Mysteries","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",False
528,Disenchantment,United States,"January 15, 2021",2021,TV-14,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy","Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",True
529,Disjointed,United States,"January 12, 2018",2018,TV-MA,TV Comedies,Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.,True
531,Do Do Sol Sol La La Sol,South Korea,"October 8, 2020",2020,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",False
532,Doctor Foster,United Kingdom,"March 31, 2018",2017,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows","When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession.",True
533,Documentary Now!,United States,"June 3, 2019",2019,TV-14,TV Comedies,"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line.""",True
534,Dogs,United States,"November 16, 2018",2018,TV-PG,Docuseries,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.",False
535,Dogs of Berlin,Germany,"December 7, 2018",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",False
536,Dollar,Lebanon,"August 8, 2019",2019,TV-MA,"International TV Shows, TV Dramas",Beautiful executive assistant Zeina reluctantly teams up with the self-assured Tarek to chase down an elusive dollar bill worth $1 million.,False
537,Dolly Parton's Heartstrings,United States,"November 22, 2019",2019,TV-14,TV Dramas,"Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.",False
538,Don't F**k with Cats: Hunting an Internet Killer,"United Kingdom, United States","December 18, 2019",2019,TV-MA,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,False
539,Doomsday Preppers,United States,"March 1, 2019",2013,TV-14,"Reality TV, Science & Nature TV",This series highlights a diverse group of survivalists as they prepare for various catastrophic scenarios that could cause civilization to collapse.,False
540,Dope,United States,"June 28, 2019",2019,TV-MA,"Crime TV Shows, Docuseries","Filmed from the perspectives of dealers, users and the police, this vivid series offers a bracing look at the war on drugs.",True
541,Dorohedoro,Japan,"May 28, 2020",2020,TV-MA,"Anime Series, International TV Shows","Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.",False
542,Down to Earth with Zac Efron,United States,"July 10, 2020",2020,TV-PG,"Docuseries, Reality TV, Science & Nature TV","Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.",False
543,Dracula,United Kingdom,"January 4, 2020",2020,TV-14,"British TV Shows, International TV Shows, TV Dramas",The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.,False
544,DRAGON PILOT: Hisone & Masotan,Japan,"September 21, 2018",2018,TV-14,"Anime Series, International TV Shows",Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.,False
546,Dragons: Race to the Edge,United States,"February 16, 2018",2018,TV-Y7,"Kids' TV, TV Action & Adventure","From the creators of ""How to Train Your Dragon"" comes an all-new Netflix original series that takes Hiccup and Toothless to the edge of adventure!",True
547,Dragons: Rescue Riders,United States,"February 7, 2020",2020,TV-Y,"Kids' TV, TV Comedies","Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",True
548,Dramaworld,"United States, South Korea, China","May 23, 2016",2016,TV-14,"Romantic TV Shows, TV Comedies, TV Dramas","A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator.""",False
549,Dream Home Makeover,United States,"January 1, 2021",2021,TV-G,Reality TV,"Dreams come true for real families looking for the perfect home tailored to their own unique style, thanks to Shea and Syd McGee of Studio McGee.",True
550,DreamWorks Happy Holidays from Madagascar,United States,"October 2, 2020",2005,TV-PG,"Kids' TV, TV Comedies",Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.,False
551,DreamWorks Holiday Classics,United States,"December 16, 2018",2011,TV-PG,"Kids' TV, TV Comedies","Join your DreamWorks friends for these four holiday specials, featuring Shrek and Donkey, Hiccup and Toothless, and the wacky animals from Madagascar.",False
552,DreamWorks How to Train Your Dragon Legends,United States,"January 20, 2020",2011,TV-PG,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","In this set of shorts, Hiccup and the gang learn about different species of dragons. Then, Gobber goes in search of the Boneknapper Dragon.",False
553,DreamWorks Kung Fu Panda Awesome Secrets,United States,"July 1, 2019",2008,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.",False
554,DreamWorks Shrek's Swamp Stories,United States,"February 17, 2020",2008,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","Shrek celebrates Halloween, Puss in Boots is captured by soldiers, and the gang participates in a kingdom-wide singing competition.",False
555,DreamWorks Spooky Stories,United States,"October 25, 2018",2009,TV-PG,"Kids' TV, TV Comedies","Shrek dares his friends to bring on the scary with ghost stories told in a haunted castle. Later, Ginormica and the Monsters face alien pumpkins.",False
557,DRIFTING DRAGONS,Japan,"April 30, 2020",2020,TV-14,"Anime Series, International TV Shows","Dragons are on the menu as the crew of the airship Quin Zaza sets out on a hunt. If they fail, empty stomachs will be the least of their worries.",False
558,Droppin' Cash: Los Angeles,United States,"August 28, 2019",2019,TV-MA,Reality TV,This Complex series follows the paper trail of musicians and athletes in Los Angeles as they blow through stacks on the finer things in life.,True
559,Drug Lords,United States,"July 10, 2018",2018,TV-MA,"Crime TV Shows, Docuseries","Witness the stories of history's most notorious kingpins, their terrifying enforcers, and the men and women who've sworn to bring them down.",True
560,Drug Squad: Costa del Sol,Spain,"October 25, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.,False
561,"Drugs, Inc.",United States,"March 23, 2019",2015,TV-MA,"Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",False
562,Dueños del paraíso,"United States, Chile","February 25, 2017",2015,TV-14,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When Anastasia Cardona's drug lord husband is murdered, she inherits his cocaine empire, leading to a life of wealth, power, violence and betrayal.",False
563,Durarara!!,Japan,"December 20, 2018",2016,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh.",False
564,Dynasty,United States,"May 23, 2020",2019,TV-14,TV Dramas,The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.,True
565,Earth to Luna!,Brazil,"April 10, 2020",2014,TV-Y,Kids' TV,"Curious about everything and excited about science, 6-year-old Luna, her brother Jupiter and pet Clyde explore nature to learn about the world.",False
566,Earth's Natural Wonders,United Kingdom,"March 1, 2017",2015,TV-PG,"British TV Shows, Docuseries, Science & Nature TV",Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,False
568,Eastsiders,United States,"December 1, 2019",2018,TV-MA,"TV Comedies, TV Dramas",Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.,True
569,Easy,United States,"May 10, 2019",2019,TV-MA,"TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture.",True
570,Easy Fortune Happy Life,Taiwan,"September 1, 2016",2009,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.",False
572,Edge of the Universe,United Kingdom,"August 1, 2016",2008,TV-G,"British TV Shows, Docuseries, Science & Nature TV","Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.",False
573,Edha,Argentina,"March 16, 2018",2018,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",False
574,Einsatzgruppen: The Nazi Death Squads,France,"November 10, 2016",2009,TV-MA,"Docuseries, International TV Shows","This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe.",False
575,El Barco,Spain," July 1, 2017",2013,NR,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Forty young crew members traveling aboard a training vessel are in for the adventure of a lifetime – especially when a storm leaves them lost at sea.,True
576,El Cartel,Colombia,"August 24, 2018",2008,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",One man makes a fateful decision to get involved with a Colombian drug cartel in this series based on a novel by Andrés López López.,False
577,El Cartel 2,Colombia,"August 24, 2018",2010,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Drug trafficker Pepe Cadena navigates the treacherous waters of warring cartels in Mexico and Colombia while avoiding capture by the DEA and police.,False
578,El Chapo,"Mexico, United States","July 27, 2018",2018,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure","This drama series chronicles the true story of the rise, capture and escape of notorious Mexican drug lord Joaquín ""El Chapo"" Guzmán.",True
579,El Chavo,Mexico,"December 31, 2017",1979,TV-PG,"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows","El Chavo is a poor, nameless orphan who lives in an apartment building with La Chilindrina, Quico, Doña Florinda, Don Ramón and Professor Jirafales.",False
580,El Clon,United States,"May 18, 2017",2010,TV-14,"Romantic TV Shows, Spanish-Language TV Shows, TV Dramas","Religion thwarted Lucas and Jade's young love. They reunite decades later, but Jade's heart is torn between the man she knew and his younger clone.",False
582,El Dragón: Return of a Warrior,Mexico,"April 17, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","To replace his grandfather as head of a cartel, a Tokyo financier returns to his home country of Mexico, where he must battle two rivals for control.",True
583,El Marginal,Argentina,"September 27, 2019",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity.",True
584,El Reemplazante,Chile,"April 4, 2020",2013,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A former high-ranking financial executive finds redemption and romance when he's paroled after a prison sentence and becomes a math teacher.,True
585,El señor de los Cielos,"United States, Mexico, Colombia","April 30, 2020",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.,True
586,El Vato,United States," February 24, 2018",2017,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Regional Mexican singer El Vato and his friends struggle to succeed in the enticing but deceptive music world in Los Angeles, California.",True
587,Elite,Spain,"March 13, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",True
588,Ellen DeGeneres: Relatable,United States,"December 18, 2018",2018,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt – and hilarious – lessons she's learned along the way.",False
589,Emily in Paris,United States,"October 2, 2020",2020,TV-MA,"Romantic TV Shows, TV Comedies, TV Dramas","After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance.",False
590,Emily's Wonder Lab,United States,"August 25, 2020",2020,TV-Y,Kids' TV,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that'll make you think — and blow your mind!",False
591,Emogenius,United States,"December 15, 2018",2017,TV-PG,Reality TV,"Two pairs of contestants go head-to-head for several rounds, deciphering puzzles and messages comprised of emojis for a chance at a $10,000 prize.",False
592,Empire Games,"Czech Republic, United States","October 5, 2018",2018,TV-14,Docuseries,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.,False
594,Encounters with Evil,United Kingdom,"July 12, 2019",2016,TV-14,"British TV Shows, Crime TV Shows, Docuseries","This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals.",False
596,Engineering Girls,India,"October 1, 2019",2018,TV-MA,"International TV Shows, TV Comedies","Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true.",False
597,Entangled,South Korea,"August 1, 2017",2014,TV-14,"International TV Shows, TV Dramas","When the children of two families become friends, they begin to unravel a horrific crime in the past that already linked their fathers to each other.",False
598,Episodes,"United Kingdom, United States","January 6, 2018",2017,TV-MA,"Classic & Cult TV, TV Comedies","Hoping to create an American version of their hit British sitcom, two screenwriters run into cultural obstacles, starting with the lead character.",True
599,Equestria Girls: Tales of Canterlot High,"United States, Canada","October 1, 2017",2017,TV-Y7,"Kids' TV, TV Comedies","In an alternate universe Equestria, the ponies have become teenage girls who must learn what it means to be human while attending Canterlot High.",False
600,Equinox,"Denmark, United States","December 30, 2020",2020,TV-MA,"International TV Shows, TV Mysteries, TV Thrillers","Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth.",False
601,Erased,Japan,"September 1, 2020",2016,TV-14,"Anime Series, International TV Shows, TV Thrillers","Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past, he has a chance to save his murdered classmates.",False
603,Eternal Love,China,"November 17, 2018",2017,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","After the deities Bai Qian and Ye Hua meet and fall in love, their romance stands the test of three lifetimes — each an epic in its own right.",False
604,Ethos,Turkey,"November 12, 2020",2020,TV-MA,"International TV Shows, TV Dramas",A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.,False
605,Eugenie Nights,Egypt,"March 11, 2019",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","In 1940s Port Said, Kariman finds comfort and solace in the arms of an unhappily married man, who also happens to be her abusive husband's brother.",False
607,Ever After High,Canada,"August 6, 2020",2016,TV-Y7,Kids' TV,The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.,True
608,Everyday Miracles,United Kingdom,"August 1, 2017",2014,TV-PG,"British TV Shows, Docuseries, International TV Shows",Materials scientist Mark Miodownik takes us into the world of everyday objects that make our lives more comfortable than those of our ancestors.,False
609,Everything Sucks!,United States,"February 16, 2018",2018,TV-14,"TV Comedies, TV Dramas, Teen TV Shows","It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era.",False
610,Evil,United States,"October 1, 2020",2019,TV-14,TV Dramas,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.,False
611,Evil Genius,United States,"May 11, 2018",2018,TV-MA,"Crime TV Shows, Docuseries, TV Mysteries",This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck – and gets weirder from there.,False
612,Ex-Boyfriend,China,"January 1, 2017",2011,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Still haunted by the traumatic event that ended her high school romance, a young professional gets a new subordinate: her former sweetheart.",False
613,Examination of Conscience,Spain,"January 25, 2019",2019,TV-MA,"Crime TV Shows, Docuseries, International TV Shows","Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors, clergy, journalists and other experts.",False
615,Exhibit A,United States,"June 28, 2019",2019,TV-MA,"Crime TV Shows, Docuseries, Science & Nature TV",This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.,False
616,Explained,United States,"September 26, 2019",2019,TV-MA,"Docuseries, Science & Nature TV","This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.",True
617,Extracurricular,South Korea,"April 29, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,False
618,Extras,"United Kingdom, United States","March 31, 2017",2006,TV-MA,"British TV Shows, TV Comedies","Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras.",True
620,Ezel,Turkey,"December 26, 2016",2009,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.,False
622,F is for Family,"United States, France, Canada","June 12, 2020",2020,TV-MA,TV Comedies,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",True
623,Fabulous Lives of Bollywood Wives,India,"November 27, 2020",2020,TV-MA,"International TV Shows, Reality TV","Cameras follow the banter and bonding between four fun-loving women from Bollywood’s inner circle as they juggle professions, family and friendship.",False
624,Fairy Tail,Japan,"April 1, 2017",2009,TV-MA,"Anime Series, International TV Shows","When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission.",False
625,Fake or Fortune?,United Kingdom,"July 26, 2019",2015,TV-G,"British TV Shows, Crime TV Shows, Docuseries",Fiona Bruce and Philip Mould use investigative skills and scientific techniques to determine if paintings are real or just impressive forgeries.,False
626,Fall in Love with Me,Taiwan,"October 1, 2016",2014,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.,False
627,Fallet,Sweden,"April 1, 2018",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies",A Swedish detective and her timid British colleague's attempt to solve a gruesome murder case nets mixed results and miscommunication.,False
628,Falsa identidad,"Mexico, United States","June 1, 2019",2018,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,False
629,Familiar Wife,South Korea,"October 1, 2020",2018,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",False
630,Family Business,France,"September 11, 2020",2020,TV-MA,"International TV Shows, TV Comedies, TV Dramas","After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.",True
631,Family Reunion,United States,"January 20, 2020",2020,TV-PG,"Kids' TV, TV Comedies","When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",True
632,Fangbone,Canada,"April 22, 2017",2016,TV-Y7,"Kids' TV, TV Comedies","Magically transported from far-off Skullbania, a young barbarian teams up with an odd third-grader to protect his homeland from an evil sorcerer.",False
633,Fartsa,Russia,"August 1, 2017",2015,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","As four Russian friends grow up in the early '60s, life, love and the curse of success threaten to derail their dreams.",False
634,Fary : Hexagone,France,"April 16, 2020",2020,TV-MA,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","French comedy phenom Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special.",True
635,Fast & Furious Spy Racers,United States,"December 26, 2020",2020,TV-Y7,Kids' TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,True
636,Fastest Car,United States,"September 20, 2019",2019,TV-MA,Reality TV,The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.,True
638,Fate/Apocrypha,Japan,"November 7, 2017",2017,TV-MA,"Anime Series, International TV Shows",The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale.,True
639,Fate/EXTRA Last Encore,Japan,"October 30, 2018",2018,TV-MA,"Anime Series, International TV Shows","Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive.",True
640,Fate/stay night: Unlimited Blade Works,Japan,"December 20, 2018",2015,TV-14,"Anime Series, International TV Shows",High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail.,True
641,Fate/Zero,Japan,"June 15, 2019",2012,TV-MA,"Anime Series, International TV Shows","After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins.",True
642,Father Brown,United Kingdom," March 31, 2018",2017,TV-14,"British TV Shows, Crime TV Shows, TV Dramas","A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton.",True
643,Fauda,Israel,"April 16, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion.",True
644,Fear City: New York vs The Mafia,United States,"July 22, 2020",2020,TV-MA,"Crime TV Shows, Docuseries","Five Mafia families ruled New York with a bloody fist in the 1970s and '80s, until a group of federal agents tried the unthinkable: taking them down.",False
645,Fear Files... Har Mod Pe Darr,India,"June 1, 2017",2015,TV-MA,"International TV Shows, TV Horror, TV Thrillers","Possessed lovers, witches, haunted houses and more bring tales of horror to the screen in this anthology series.",False
646,Feel Good,United Kingdom,"March 20, 2020",2020,TV-MA,"Romantic TV Shows, TV Comedies, TV Dramas","Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety.",False
647,Felipe Esparza: Bad Decisions,United States,"September 1, 2020",2020,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy.",False
648,Fifty: The Series,Nigeria,"February 7, 2020",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Juggling careers and families, four ambitious women faced with unique crises weigh the consequences of their choices as they approach turning 50.",True
650,Filinta,Turkey,"April 15, 2017",2015,TV-14,"Crime TV Shows, International TV Shows, TV Action & Adventure","In 19th-century Istanbul, a young police officer investigates crimes and falls in love with the daughter of a wealthy merchant conspiring against him.",True
651,FINAL FANTASY XIV Dad of Light,Japan,"September 1, 2017",2017,TV-PG,"International TV Shows, TV Dramas",A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.,False
653,Fire Chasers,United States,"September 8, 2017",2017,TV-MA,"Docuseries, Science & Nature TV","As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",False
654,Fireman Sam,United Kingdom,"October 15, 2020",2018,TV-Y,"British TV Shows, Kids' TV","Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency.",True
656,First Team: Juventus,United States,"July 6, 2018",2018,TV-PG,"Docuseries, International TV Shows",Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,True
658,Five Came Back,United States,"March 31, 2017",2017,TV-MA,Docuseries,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II.,False
659,Fix It and Finish It,United States," July 20, 2018",2014,TV-G,Reality TV,"A team of skilled contractors and designers hosted by Antonio Sabato Jr. renovates houses, cabins and even RVs, transforming properties in one day.",True
660,Flaked,United States,"June 2, 2017",2017,TV-MA,"TV Comedies, TV Dramas","In his funky California beach enclave, Chip's the go-to guy for personal insights. But he isn't quite as enlightened when it comes to his own baggage.",True
661,Flavorful Origins,China,"November 20, 2020",2020,TV-G,"Docuseries, International TV Shows","Delve into the delectable world of Chaoshan cuisine, explore its unique ingredients and hear the stories of the people behind its creation.",True
662,Flinch,United Kingdom,"May 3, 2019",2019,TV-PG,Reality TV,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.",False
663,Flint Town,United States,"March 2, 2018",2018,TV-MA,"Docuseries, Science & Nature TV","Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",False
664,Floor Is Lava,United States,"June 19, 2020",2020,TV-PG,Reality TV,"Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers. Yes, really.",False
665,Flowering Heart,South Korea,"July 1, 2019",2016,TV-Y7,"Kids' TV, Korean TV Shows","An ordinary student, who forms an advice club with her friends to help others, gains special powers after a mysterious encounter.",False
666,Flowers,United Kingdom,"December 15, 2018",2018,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together.",True
